etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
TQQQ,LONG,2025-06-12 14:30:00+00:00,2025-06-13 13:30:00+00:00,37.7964,36.6442,-3.549,-106.46,stop,0.0279,0,9893.55,2025-06-12 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,111.3807,108.8206,-2.799,-83.06,timeout,0.0064,0,9810.48,2025-06-13 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-16 17:30:00+00:00,2025-06-17 17:30:00+00:00,108.9044,112.6686,2.956,87.01,timeout,0.008,1,9897.5,2025-06-16 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-17 18:30:00+00:00,2025-06-18 18:30:00+00:00,112.7924,112.8935,-0.41,-12.18,timeout,0.0078,0,9885.31,2025-06-17 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-20 16:30:00+00:00,2025-06-23 16:30:00+00:00,113.8819,111.4193,-2.662,-78.96,timeout,0.008,0,9806.35,2025-06-20 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-23 18:30:00+00:00,2025-06-24 13:30:00+00:00,111.1305,107.7427,-3.548,-104.39,stop,0.0086,0,9701.96,2025-06-23 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-24 17:30:00+00:00,2025-06-25 13:30:00+00:00,105.953,102.723,-3.548,-103.28,stop,0.0063,0,9598.68,2025-06-24 17:30:00+00:00,2025-06
TQQQ,LONG,2025-06-25 14:30:00+00:00,2025-06-26 14:30:00+00:00,39.4047,39.7526,0.383,11.03,timeout,0.0275,1,9609.71,2025-06-25 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-26 16:30:00+00:00,2025-06-27 16:30:00+00:00,101.5603,99.3508,-2.676,-77.13,timeout,0.0071,0,9532.57,2025-06-26 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-27 17:30:00+00:00,2025-06-30 17:30:00+00:00,99.4992,98.8001,-1.203,-34.39,timeout,0.0069,0,9498.18,2025-06-27 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-30 18:30:00+00:00,2025-07-01 18:30:00+00:00,98.8734,99.9145,0.553,15.76,timeout,0.0064,1,9513.94,2025-06-30 18:30:00+00:00,2025-06
TQQQ,LONG,2025-07-02 14:30:00+00:00,2025-07-03 14:30:00+00:00,40.983,42.4513,3.083,87.98,timeout,0.0359,1,9601.92,2025-07-02 14:30:00+00:00,2025-07
TQQQ,LONG,2025-07-07 14:30:00+00:00,2025-07-08 14:30:00+00:00,41.7884,41.3618,-1.521,-43.81,timeout,0.0291,0,9558.11,2025-07-07 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-09 18:30:00+00:00,2025-07-10 18:30:00+00:00,96.1981,95.878,-0.833,-23.88,timeout,0.0078,0,9534.24,2025-07-09 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-11 16:30:00+00:00,2025-07-14 16:30:00+00:00,96.4832,95.6527,-1.361,-38.92,timeout,0.007,0,9495.31,2025-07-11 16:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-14 17:30:00+00:00,2025-07-15 17:30:00+00:00,95.7594,94.2523,-2.074,-59.07,timeout,0.0069,0,9436.24,2025-07-14 17:30:00+00:00,2025-07
TQQQ,LONG,2025-07-16 14:30:00+00:00,2025-07-17 14:30:00+00:00,42.1761,43.3583,2.303,65.2,timeout,0.026,1,9501.44,2025-07-16 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-17 17:30:00+00:00,2025-07-18 17:30:00+00:00,93.1966,93.5782,-0.091,-2.58,timeout,0.0069,0,9498.86,2025-07-17 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-18 18:30:00+00:00,2025-07-21 18:30:00+00:00,93.6703,91.7666,-2.532,-72.16,timeout,0.0072,0,9426.69,2025-07-18 18:30:00+00:00,2025-07
TQQQ,LONG,2025-07-22 14:30:00+00:00,2025-07-23 14:30:00+00:00,43.079,43.2685,-0.06,-1.7,timeout,0.0343,0,9424.99,2025-07-22 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-23 17:30:00+00:00,2025-07-24 17:30:00+00:00,93.4952,91.2793,-2.87,-81.15,timeout,0.0075,0,9343.84,2025-07-23 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-24 18:30:00+00:00,2025-07-25 18:30:00+00:00,91.3457,91.0544,-0.819,-22.95,timeout,0.0071,0,9320.89,2025-07-24 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-25 19:30:00+00:00,2025-07-28 19:30:00+00:00,91.1195,90.3553,-1.339,-37.43,timeout,0.0055,0,9283.45,2025-07-25 19:30:00+00:00,2025-07
TQQQ,LONG,2025-07-29 14:30:00+00:00,2025-07-30 14:30:00+00:00,45.3101,44.8475,-1.521,-42.36,timeout,0.0257,0,9241.09,2025-07-29 14:30:00+00:00,2025-07
TQQQ,LONG,2025-07-31 14:30:00+00:00,2025-07-31 17:30:00+00:00,45.7629,44.3678,-3.548,-98.38,stop,0.0368,0,9142.71,2025-07-31 14:30:00+00:00,2025-07
TQQQ,LONG,2025-08-01 14:30:00+00:00,2025-08-04 14:30:00+00:00,42.066,43.2309,2.269,62.24,timeout,0.0514,1,9204.95,2025-08-01 14:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-04 17:30:00+00:00,2025-08-05 17:30:00+00:00,92.6078,93.7031,0.683,18.85,timeout,0.0082,1,9223.81,2025-08-04 17:30:00+00:00,2025-08
TQQQ,LONG,2025-08-07 14:30:00+00:00,2025-08-08 14:30:00+00:00,45.2476,45.7948,0.709,19.63,timeout,0.043,1,9243.44,2025-08-07 14:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-08 18:30:00+00:00,2025-08-11 18:30:00+00:00,87.5688,87.9065,-0.114,-3.17,timeout,0.0076,0,9240.27,2025-08-08 18:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-11 19:30:00+00:00,2025-08-12 16:30:00+00:00,88.0215,85.3382,-3.549,-98.37,stop,0.0086,0,9141.9,2025-08-11 19:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-12 17:30:00+00:00,2025-08-13 17:30:00+00:00,85.5427,85.0,-1.135,-31.11,timeout,0.0072,0,9110.79,2025-08-12 17:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-13 18:30:00+00:00,2025-08-14 18:30:00+00:00,85.0425,84.992,-0.559,-15.29,timeout,0.0082,0,9095.5,2025-08-13 18:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-14 19:30:00+00:00,2025-08-15 19:30:00+00:00,85.08,86.3073,0.943,25.72,timeout,0.0082,1,9121.21,2025-08-14 19:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-18 16:30:00+00:00,2025-08-19 16:30:00+00:00,86.7934,89.7801,2.941,80.48,timeout,0.0055,1,9201.7,2025-08-18 16:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-19 17:30:00+00:00,2025-08-20 17:30:00+00:00,89.8454,92.954,2.96,81.71,timeout,0.0064,1,9283.41,2025-08-19 17:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-20 18:30:00+00:00,2025-08-21 18:30:00+00:00,93.0715,92.6896,-0.91,-25.35,timeout,0.0073,0,9258.05,2025-08-20 18:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-21 19:30:00+00:00,2025-08-22 13:30:00+00:00,92.7714,89.9432,-3.548,-98.56,stop,0.0055,0,9159.5,2025-08-21 19:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-22 17:30:00+00:00,2025-08-25 17:30:00+00:00,88.2936,88.7461,0.012,0.34,timeout,0.0066,1,9159.84,2025-08-22 17:30:00+00:00,2025-08
