etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 17:30:00+00:00,216.7333,233.9549,7.446,59.57,target,0.02,1,10059.57,2024-08-01 14:30:00+00:00,2024-08
SPXS,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 18:30:00+00:00,76.7383,80.2099,4.024,32.19,timeout,0.02,1,10091.76,2024-08-01 14:30:00+00:00,2024-08
SPXU,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 18:30:00+00:00,112.6963,117.7411,3.976,31.81,timeout,0.02,1,10123.57,2024-08-01 14:30:00+00:00,2024-08
SDOW,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 18:30:00+00:00,60.01,61.614,2.173,17.38,timeout,0.02,1,10140.95,2024-08-01 14:30:00+00:00,2024-08
SMDD,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 18:30:00+00:00,20.2101,20.6697,1.774,14.19,timeout,0.02,1,10155.14,2024-08-01 14:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 19:30:00+00:00,250.6253,247.3762,-1.796,-14.59,timeout,0.0354,0,10140.55,2024-08-02 15:30:00+00:00,2024-08
SPXS,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 19:30:00+00:00,85.6938,84.1079,-2.351,-19.1,timeout,0.0354,0,10121.45,2024-08-02 15:30:00+00:00,2024-08
SPXU,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 19:30:00+00:00,125.8629,123.4582,-2.411,-19.58,timeout,0.0354,0,10101.87,2024-08-02 15:30:00+00:00,2024-08
SDOW,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 19:30:00+00:00,65.5127,64.008,-2.797,-22.72,timeout,0.0354,0,10079.15,2024-08-02 15:30:00+00:00,2024-08
SMDD,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 19:30:00+00:00,22.3912,22.1489,-1.582,-12.85,timeout,0.0354,0,10066.3,2024-08-02 15:30:00+00:00,2024-08
SDOW,SHORT,2024-08-05 13:30:00+00:00,2024-08-05 17:30:00+00:00,69.3146,68.2259,-2.071,-16.68,timeout,0.0303,0,9822.31,2024-08-05 13:30:00+00:00,2024-08
SPXU,SHORT,2024-08-05 13:30:00+00:00,2024-08-05 13:30:00+00:00,138.5492,134.3256,-3.548,-28.58,stop,0.0303,0,9980.57,2024-08-05 13:30:00+00:00,2024-08
SMDD,SHORT,2024-08-05 13:30:00+00:00,2024-08-05 13:30:00+00:00,25.2126,24.444,-3.548,-28.58,stop,0.0303,0,9951.99,2024-08-05 13:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-05 13:30:00+00:00,2024-08-05 13:30:00+00:00,287.6137,278.8458,-3.548,-28.58,stop,0.0303,0,10037.72,2024-08-05 13:30:00+00:00,2024-08
SPXS,SHORT,2024-08-05 13:30:00+00:00,2024-08-05 13:30:00+00:00,94.3472,91.471,-3.548,-28.58,stop,0.0303,0,10009.14,2024-08-05 13:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,275.6352,267.2325,-3.548,-28.25,stop,0.0874,0,9923.74,2024-08-05 14:30:00+00:00,2024-08
SPXS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,92.8464,90.016,-3.548,-28.25,stop,0.0874,0,9895.49,2024-08-05 14:30:00+00:00,2024-08
