etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,216.7333,230.7595,5.972,47.77,timeout,0.0172,1,10047.77,2024-08-01 14:30:00+00:00,2024-08
SPXS,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,76.7383,79.8501,3.555,28.44,timeout,0.0172,1,10076.21,2024-08-01 14:30:00+00:00,2024-08
SPXU,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,112.6963,117.221,3.515,28.12,timeout,0.0172,1,10104.33,2024-08-01 14:30:00+00:00,2024-08
SDOW,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,60.01,61.4117,1.836,14.69,timeout,0.0172,1,10119.02,2024-08-01 14:30:00+00:00,2024-08
SMDD,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,20.2101,20.6497,1.675,13.4,timeout,0.0172,1,10132.42,2024-08-01 14:30:00+00:00,2024-08
SMDD,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 17:30:00+00:00,22.3912,22.2888,-0.957,-7.76,timeout,0.0177,0,10066.87,2024-08-02 15:30:00+00:00,2024-08
SPXU,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 17:30:00+00:00,125.8629,124.2578,-1.775,-14.39,timeout,0.0177,0,10089.88,2024-08-02 15:30:00+00:00,2024-08
SDOW,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 17:30:00+00:00,65.5127,64.6077,-1.882,-15.25,timeout,0.0177,0,10074.63,2024-08-02 15:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 17:30:00+00:00,250.6253,247.7511,-1.647,-13.35,timeout,0.0177,0,10119.07,2024-08-02 15:30:00+00:00,2024-08
SPXS,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 17:30:00+00:00,85.6938,84.5577,-1.826,-14.8,timeout,0.0177,0,10104.27,2024-08-02 15:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-02 18:30:00+00:00,2024-08-05 13:30:00+00:00,247.8739,267.5699,7.446,59.97,target,0.0224,1,10126.84,2024-08-02 18:30:00+00:00,2024-08
SPXS,SHORT,2024-08-02 18:30:00+00:00,2024-08-05 13:30:00+00:00,84.6923,91.422,7.446,59.97,target,0.0224,1,10186.8,2024-08-02 18:30:00+00:00,2024-08
SPXU,SHORT,2024-08-02 18:30:00+00:00,2024-08-05 13:30:00+00:00,124.4222,134.3088,7.446,59.97,target,0.0224,1,10246.77,2024-08-02 18:30:00+00:00,2024-08
SDOW,SHORT,2024-08-02 18:30:00+00:00,2024-08-05 13:30:00+00:00,64.6723,69.8112,7.446,59.97,target,0.0224,1,10306.74,2024-08-02 18:30:00+00:00,2024-08
SMDD,SHORT,2024-08-02 18:30:00+00:00,2024-08-05 13:30:00+00:00,22.3111,24.084,7.446,59.97,target,0.0224,1,10366.7,2024-08-02 18:30:00+00:00,2024-08
SMDD,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 15:30:00+00:00,24.3142,23.5729,-3.548,-29.43,stop,0.047,0,10219.56,2024-08-05 14:30:00+00:00,2024-08
SDOW,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 15:30:00+00:00,69.5147,67.3956,-3.548,-29.43,stop,0.047,0,10248.99,2024-08-05 14:30:00+00:00,2024-08
SPXU,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,136.4282,132.2692,-3.548,-29.43,stop,0.047,0,10278.41,2024-08-05 14:30:00+00:00,2024-08
SPXS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,92.8464,90.016,-3.548,-29.43,stop,0.047,0,10307.84,2024-08-05 14:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,275.6352,267.2325,-3.548,-29.43,stop,0.047,0,10337.27,2024-08-05 14:30:00+00:00,2024-08
SQQQ,SHORT,2024-08-05 15:30:00+00:00,2024-08-05 17:30:00+00:00,265.8829,268.1409,0.349,2.87,timeout,0.0337,1,10222.43,2024-08-05 15:30:00+00:00,2024-08
SPXS,SHORT,2024-08-05 15:30:00+00:00,2024-08-05 17:30:00+00:00,90.4952,90.7556,-0.212,-1.75,timeout,0.0337,0,10220.68,2024-08-05 15:30:00+00:00,2024-08
SPXU,SHORT,2024-08-05 15:30:00+00:00,2024-08-05 17:30:00+00:00,132.9064,133.2933,-0.209,-1.72,timeout,0.0337,0,10218.97,2024-08-05 15:30:00+00:00,2024-08
SDOW,SHORT,2024-08-05 16:30:00+00:00,2024-08-05 18:30:00+00:00,67.4537,69.1254,1.978,16.17,timeout,0.0338,1,10235.14,2024-08-05 16:30:00+00:00,2024-08
SMDD,SHORT,2024-08-05 16:30:00+00:00,2024-08-05 18:30:00+00:00,23.7321,23.966,0.486,3.97,timeout,0.0338,1,10239.11,2024-08-05 16:30:00+00:00,2024-08
SPXU,SHORT,2024-08-05 18:30:00+00:00,2024-08-06 13:30:00+00:00,133.5067,129.4368,-3.548,-29.01,stop,0.0318,0,10152.08,2024-08-05 18:30:00+00:00,2024-08
