ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
RCAT,2024-08-13 16:30:00+00:00,2024-08-13 16:30:00+00:00,2.7964,2.7111,-3.548,-70.97,stop,0.1837,0,9929.03,2024-08-13 16:30:00+00:00,2024-08
ONDS,2024-08-13 16:30:00+00:00,2024-08-13 16:30:00+00:00,0.6837,0.6629,-3.549,-70.97,stop,0.1795,0,9858.06,2024-08-13 16:30:00+00:00,2024-08
SEZL,2024-08-13 16:30:00+00:00,2024-08-13 16:30:00+00:00,21.0939,20.4508,-3.548,-70.97,stop,0.1766,0,9787.09,2024-08-13 16:30:00+00:00,2024-08
LUMN,2024-08-13 16:30:00+00:00,2024-08-14 13:30:00+00:00,4.6873,5.0598,7.446,148.92,target,0.2275,1,9936.01,2024-08-13 16:30:00+00:00,2024-08
BW,2024-08-13 16:30:00+00:00,2024-08-14 15:30:00+00:00,1.0615,1.0545,-1.165,-23.3,timeout,0.2275,0,9989.0,2024-08-13 16:30:00+00:00,2024-08
RCAT,2024-08-13 17:30:00+00:00,2024-08-14 13:30:00+00:00,2.6814,2.8945,7.446,145.75,target,0.2275,1,10081.76,2024-08-13 17:30:00+00:00,2024-08
SMR,2024-08-13 17:30:00+00:00,2024-08-14 13:30:00+00:00,9.995,9.6903,-3.548,-69.46,stop,0.1936,0,10012.3,2024-08-13 17:30:00+00:00,2024-08
EOSE,2024-08-13 17:30:00+00:00,2024-08-14 16:30:00+00:00,1.7059,1.7391,1.451,28.4,timeout,0.204,1,10166.5,2024-08-13 17:30:00+00:00,2024-08
RGTI,2024-08-14 14:30:00+00:00,2024-08-15 13:30:00+00:00,0.8402,0.887,5.062,101.37,timeout,0.204,1,10267.88,2024-08-14 14:30:00+00:00,2024-08
BBAI,2024-08-14 14:30:00+00:00,2024-08-15 13:30:00+00:00,1.2306,1.2544,1.431,28.65,timeout,0.1936,1,10296.52,2024-08-14 14:30:00+00:00,2024-08
IBRX,2024-08-14 14:30:00+00:00,2024-08-14 15:30:00+00:00,3.5821,3.8667,7.446,149.1,target,0.2275,1,10138.11,2024-08-14 14:30:00+00:00,2024-08
