ticker,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
ZKIN,2024-06-20 14:30:00+00:00,2024-06-20 17:30:00+00:00,0.5291,0.5221,-1.323,timeout,0.645,0
MYSZ,2024-06-21 13:30:00+00:00,2024-06-21 14:30:00+00:00,2.69,2.55,-5.204,stop,0.6043,0
ZKIN,2024-06-21 17:30:00+00:00,2024-06-24 14:30:00+00:00,0.529,0.521,-1.512,timeout,0.6198,0
ZKIN,2024-06-21 18:30:00+00:00,2024-06-24 15:30:00+00:00,0.5193,0.5021,-3.312,stop,0.6421,0
SATL,2024-06-24 14:30:00+00:00,2024-06-24 17:30:00+00:00,1.04,1.02,-1.923,timeout,0.6089,0
ZKIN,2024-06-24 18:30:00+00:00,2024-06-25 14:30:00+00:00,0.4853,0.5149,6.099,timeout,0.6198,1
ZKIN,2024-06-26 19:30:00+00:00,2024-06-27 15:30:00+00:00,0.5176,0.519,0.27,timeout,0.6071,1
SATL,2024-06-28 14:30:00+00:00,2024-06-28 18:30:00+00:00,1.0236,1.01,-1.329,timeout,0.6118,0
MYSZ,2024-07-01 14:30:00+00:00,2024-07-02 13:30:00+00:00,2.5599,2.58,0.785,timeout,0.6056,1
LRHC,2024-07-01 14:30:00+00:00,2024-07-01 17:30:00+00:00,14724.0,15584.0,5.841,timeout,0.6015,1
CELZ,2024-07-01 16:30:00+00:00,2024-07-02 13:30:00+00:00,3.795,3.66,-3.557,stop,0.6011,0
ZKIN,2024-07-01 18:30:00+00:00,2024-07-02 14:30:00+00:00,0.54,0.5045,-6.574,stop,0.6131,0
PODC,2024-07-01 19:30:00+00:00,2024-07-02 18:30:00+00:00,1.5501,1.5824,2.084,timeout,0.6299,1
ZKIN,2024-07-02 15:30:00+00:00,2024-07-02 19:30:00+00:00,0.503,0.5216,3.698,timeout,0.6402,1
PODC,2024-07-02 15:30:00+00:00,2024-07-03 14:30:00+00:00,1.59,1.4901,-6.283,stop,0.6177,0
MYSZ,2024-07-02 17:30:00+00:00,2024-07-02 18:30:00+00:00,2.5255,2.7999,10.865,target,0.6018,1
ZKIN,2024-07-02 18:30:00+00:00,2024-07-03 13:30:00+00:00,0.5031,0.4725,-6.082,stop,0.603,0
ZKIN,2024-07-03 15:30:00+00:00,2024-07-05 16:30:00+00:00,0.4799,0.5001,4.209,timeout,0.6012,1
PODC,2024-07-03 15:30:00+00:00,2024-07-05 13:30:00+00:00,1.5351,1.4747,-3.935,stop,0.6119,0
CLWT,2024-07-05 13:30:00+00:00,2024-07-05 15:30:00+00:00,1.5559,1.475,-5.2,stop,0.6322,0
SOTK,2024-07-05 14:30:00+00:00,2024-07-05 16:30:00+00:00,4.05,3.8896,-3.96,stop,0.6217,0
LEDS,2024-07-05 14:30:00+00:00,2024-07-05 18:30:00+00:00,1.3,1.32,1.538,timeout,0.6213,1
SOTK,2024-07-05 17:30:00+00:00,2024-07-08 14:30:00+00:00,4.0899,3.89,-4.888,stop,0.6237,0
SOTK,2024-07-08 15:30:00+00:00,2024-07-08 17:30:00+00:00,4.0699,3.92,-3.683,stop,0.623,0
CLWT,2024-07-08 18:30:00+00:00,2024-07-09 15:30:00+00:00,1.37,1.4299,4.372,timeout,0.6061,1
MYSZ,2024-07-09 13:30:00+00:00,2024-07-09 16:30:00+00:00,2.52,2.56,1.587,timeout,0.6072,1
CISO,2024-07-12 13:30:00+00:00,2024-07-12 16:30:00+00:00,0.5809,0.5958,2.565,timeout,0.6037,1
VALU,2024-07-12 16:30:00+00:00,2024-07-15 17:30:00+00:00,41.99,42.83,2.0,timeout,0.6263,1
ZKIN,2024-07-12 19:30:00+00:00,2024-07-15 13:30:00+00:00,0.5412,0.4726,-12.676,stop,0.6621,0
ZKIN,2024-07-15 14:30:00+00:00,2024-07-15 17:30:00+00:00,0.4733,0.52,9.867,target,0.6024,1
ZKIN,2024-07-15 16:30:00+00:00,2024-07-15 19:30:00+00:00,0.51,0.49,-3.922,stop,0.6028,0
WFCF,2024-07-16 14:30:00+00:00,2024-07-16 17:30:00+00:00,11.85,11.88,0.253,timeout,0.6037,1
ZKIN,2024-07-16 15:30:00+00:00,2024-07-16 16:30:00+00:00,0.5415,0.523,-3.416,stop,0.6025,0
CELZ,2024-07-16 18:30:00+00:00,2024-07-17 17:30:00+00:00,3.5649,3.6648,2.802,timeout,0.6003,1
WFCF,2024-07-17 16:30:00+00:00,2024-07-18 17:30:00+00:00,11.4,11.4,0.0,timeout,0.6407,0
PODC,2024-07-18 17:30:00+00:00,2024-07-19 16:30:00+00:00,1.4799,1.42,-4.048,stop,0.6083,0
SOTK,2024-07-18 17:30:00+00:00,2024-07-19 18:30:00+00:00,4.2499,4.17,-1.88,timeout,0.6067,0
WFCF,2024-07-19 16:30:00+00:00,2024-07-23 16:30:00+00:00,11.03,11.03,0.0,timeout,0.6178,0
