ticker,direction,leverage_etf,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
ABCL,long,,2025-11-07 16:30:00+00:00,2025-11-10 17:30:00+00:00,3.7,3.8154,3.119,timeout,0.5898,1
ABCL,long,,2025-11-07 19:30:00+00:00,2025-11-10 18:30:00+00:00,3.8576,4.1662,8.0,target,0.5898,1
AAOI,long,,2025-04-04 16:30:00+00:00,2025-04-04 17:30:00+00:00,10.85,10.5245,-3.0,stop,0.494,0
AAOI,long,,2025-04-04 18:30:00+00:00,2025-04-07 14:30:00+00:00,10.66,11.5128,8.0,target,0.5898,1
AAOI,long,,2025-04-09 17:30:00+00:00,2025-04-09 18:30:00+00:00,12.1,13.068,8.0,target,0.5553,1
AAON,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,74.065,79.9902,8.0,target,0.5553,1
AEIS,long,,2025-04-07 15:30:00+00:00,2025-04-08 14:30:00+00:00,78.24,84.4992,8.0,target,0.5898,1
AEHR,long,,2025-10-07 15:30:00+00:00,2025-10-08 16:30:00+00:00,25.04,26.1188,4.308,timeout,0.5898,1
AESI,long,,2025-04-07 15:30:00+00:00,2025-04-08 16:30:00+00:00,13.5,13.095,-3.0,stop,0.4868,0
AESI,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,12.68,13.6944,8.0,target,0.5553,1
AESI,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,12.64,13.6512,8.0,target,0.5371,1
AGL,long,,2025-04-22 19:30:00+00:00,2025-04-23 17:30:00+00:00,99.47,96.4859,-3.0,stop,0.5898,0
AIT,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,208.77,225.4716,8.0,target,0.5553,1
ALLY,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,30.04,32.4432,8.0,target,0.5553,1
ALGM,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,18.93,20.4444,8.0,target,0.5553,1
ANF,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,67.83,73.2564,8.0,target,0.5553,1
AMBA,long,,2025-04-07 15:30:00+00:00,2025-04-08 16:30:00+00:00,41.25,41.7799,1.285,timeout,0.5898,1
AMBA,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,40.42,43.6536,8.0,target,0.5553,1
AMBA,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,40.745,44.0046,8.0,target,0.5553,1
AMBA,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,40.34,43.5672,8.0,target,0.5553,1
AMBA,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,40.37,43.5996,8.0,target,0.5553,1
ARCB,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,59.68,64.4544,8.0,target,0.5553,1
ARCB,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,59.815,64.6002,8.0,target,0.5553,1
ARCB,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,59.345,64.0926,8.0,target,0.5371,1
ARWR,long,,2025-04-07 15:30:00+00:00,2025-04-08 14:30:00+00:00,10.08,10.8864,8.0,target,0.5898,1
ARWR,long,,2025-04-07 16:30:00+00:00,2025-04-08 14:30:00+00:00,10.06,10.8648,8.0,target,0.5898,1
ATAI,long,,2025-11-07 16:30:00+00:00,2025-11-10 17:30:00+00:00,4.215,4.33,2.728,timeout,0.3615,1
AUB,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,24.31,26.2548,8.0,target,0.5553,1
AUB,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,24.0825,26.0091,8.0,target,0.5553,1
AUB,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,24.03,25.9524,8.0,target,0.5553,1
AYI,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,218.6914,236.1867,8.0,target,0.5553,1
BB,long,,2025-04-04 18:30:00+00:00,2025-04-07 19:30:00+00:00,2.9699,2.9475,-0.754,timeout,0.5898,0
BBIO,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,28.775,31.077,8.0,target,0.5553,1
BEAM,long,,2025-04-07 15:30:00+00:00,2025-04-08 16:30:00+00:00,14.5,14.27,-1.586,timeout,0.5898,0
BEAM,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,14.19,15.3252,8.0,target,0.5553,1
BEAM,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,14.09,15.2172,8.0,target,0.5553,1
